date,pollster,sample_size,Progress,Unity,Greens
2025-09-08,Meridian,1017,38.7,39.9,21.4
2025-09-12,Meridian,1081,38.2,40.7,21.1
2025-09-17,CivicVoice,1441,39.1,39.9,21.0
2025-09-19,Northgate,933,39.5,41.3,19.2
2025-09-24,Meridian,960,39.2,39.8,21.0
2025-09-30,CivicVoice,1513,38.2,41.9,19.9
2025-10-02,Meridian,1131,38.6,40.6,20.8
2025-10-04,CivicVoice,1319,38.0,42.8,19.3
2025-10-09,Northgate,969,38.1,43.3,18.6
2025-10-16,Northgate,869,38.6,39.9,21.5
2025-10-18,CivicVoice,1431,41.0,39.8,19.2
2025-10-23,Meridian,1132,40.5,38.3,21.2
2025-10-23,Northgate,1057,38.9,42.2,18.9
2025-11-04,Northgate,889,38.4,40.6,20.9
2025-11-07,CivicVoice,1586,41.7,39.1,19.3
2025-11-12,Northgate,961,41.5,39.6,18.9
2025-11-19,Meridian,971,42.1,39.6,18.3
2025-11-20,CivicVoice,1569,41.7,39.6,18.7
2025-11-22,Northgate,760,39.2,41.2,19.6
2025-11-27,CivicVoice,1448,41.1,38.8,20.1
2025-12-01,Northgate,858,39.8,41.5,18.7
2025-12-06,Meridian,1016,42.1,38.9,19.0
2025-12-16,Meridian,1068,42.8,38.1,19.1
2025-12-16,CivicVoice,1551,41.5,39.7,18.8
2025-12-23,Northgate,950,40.5,41.9,17.6
2026-01-02,Meridian,1202,40.4,40.5,19.1
2026-01-03,CivicVoice,1338,39.1,40.2,20.7
2026-01-05,Northgate,977,40.3,39.7,20.0
2026-01-11,CivicVoice,1513,39.3,39.7,21.0
2026-01-13,Northgate,938,39.1,41.0,19.9
2026-01-14,Meridian,996,40.1,40.6,19.3
2026-01-19,Northgate,796,38.5,42.4,19.1
2026-01-21,CivicVoice,1357,40.6,39.3,20.1
2026-01-24,Meridian,1259,41.2,37.8,20.9
2026-02-04,CivicVoice,1272,41.3,40.5,18.2
2026-02-06,Northgate,1029,39.8,40.1,20.1
2026-02-11,Meridian,1137,42.5,39.3,18.2
2026-02-15,CivicVoice,1474,41.5,40.6,17.9
2026-02-20,CivicVoice,1385,41.8,39.7,18.5
2026-02-21,Northgate,882,39.3,41.1,19.6
2026-03-04,CivicVoice,1298,42.9,38.9,18.2
